timestamp,age,faculty,study_program,study_year,phone_brand,phone_model,phone_price,purchase_year,phone_age,replacement_plan,replacement_reason,disposal_plan,prev_phone_replacement_reason,prev_phone_disposal,additional_info
2025/11/04 4:15:23 pop. GMT +1,21,FERI UM,Računalništvo in informacijske tehnologije Vsš (Computer and Information Technologies),2. letnik podiplomski (2nd year postgraduate),Apple,13,Nad 800 € (Over €800),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Slaba baterija (Poor battery performance),Ne vem še (Not sure yet),Pokvaril se je (It broke down),Zavrgel_a (Discarded it),
2025/11/04 4:18:38 pop. GMT +1,22,FRI UL,"Računalništvo in matematika, interdisciplinarni magistrski program (Computer Science and Mathematics, interdisciplinary master’s program)",1. letnik podiplomski (1st year postgraduate),Apple,iPhone 11,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2019.0,6.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Ne vem še (Not sure yet),Dobil sem trenutni telefon zastojn,Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 4:42:54 pop. GMT +1,22,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),3. letnik (3rd year),Apple,Se 2020 ,400–600 € (€400–600),2021.0,4.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Poškodbe (Damage),Oddal_a v reciklažo / zbirni center (Recycle / take to collection center),"Poškodba (Damage - screen, water, etc.)",Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 4:49:00 pop. GMT +1,19,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Xiaomi,Mi 10,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2020.0,5.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Poškodbe (Damage),Ne vem še (Not sure yet),Želel_a sem novejši model (Wanted a newer model),Ne vem (I don’t know),
2025/11/04 4:54:34 pop. GMT +1,23,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Xiaomi,redmi 14,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2024.0,1.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),"Poškodba (Damage - screen, water, etc.)",Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 5:16:02 pop. GMT +1,21,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Samsung,A54,200–400 € (€200–400),2020.0,5.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Outdated,Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 5:35:57 pop. GMT +1,19,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),2. letnik (2nd year),Samsung,A51,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2020.0,5.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Bomo še videli,Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Pokvaril se je (It broke down),Zavrgel_a (Discarded it),
2025/11/04 5:43:45 pop. GMT +1,22,FMF UL,Magistrski študijski program FIZIKA (Master’s Study Program PHYSICS),1. letnik podiplomski (1st year postgraduate),Samsung,Samsung galaxy S24 FE,200–400 € (€200–400),2025.0,0.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Pokvaril se je (It broke down),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 5:57:36 pop. GMT +1,24,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),3. letnik (3rd year),Xiaomi,Poco x5 pro,200–400 € (€200–400),2022.0,3.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 6:17:05 pop. GMT +1,21,FE UL,"Elektrotehnika Uni (Electrical Engineering, University)",3. letnik (3rd year),Samsung,A53,200–400 € (€200–400),2023.0,2.0,Čez 2 leti (In 2 years),Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
