Id,Start time,Completion time,Email,Name,Language,Koliko ste stari?,Ozna?ite spol.,"Na kateri fakulteti študirate? (Študenti interdisciplinarnih programov, ki potekajo na ve?ih fakultetah, ozna?ite poljubno fakulteto.)",Na kateri stopnji študija ste trenutno?,Katere znamke telefon trenutno primarno uporabljate?,Kolikšna je bila cena telefona iz prejšnjega vprašanja ob nakupu?,Katerega leta ste kupili vaš trenutni primarni telefon?,Kdaj imate namen vaš trenutni primarni telefon zamenjati?,"Zakaj ste zamenjali vaš prejšnji telefon) (?e niste popolnoma prepri?ani, navedite najverjetnejši vzrok.)",Kaj ste naredili z vašim prejšnjim telefonom po zamenjavi?,Koliko odsluženih telefonov imate trenutno spravljenih doma?,"Zakaj ste izbrali tak na?in odvrženja odslužene naprave? (Izberite vse, kar velja.)",Ali ste pred reševanjem te ankete že slišali za odpadno elektri?no in elektronsko opremo (t. i. e-odpadke)?,"Kaj od naštetega, po vašem mnenju, spada med e-odpadke?","Kaj je, po vašem mnenju, glavni razlog, da študenti starih telefonov ne odvržejo v zbirališ?a za e-odpadke?","Kako bi, po vašem mnanju, lahko k izboljšanju znanja o e-odpadkih in pravilnem odvrženju starih telefonov pripomogla vaša fakulteta oz. univerza?"
61,12/20/2025 22:50,12/20/2025 22:52,anonymous,,Slovenš?ina,28,Moški,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Apple,Ve? kot 1000€.,2024,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Oddal/-a sem ga na ekološkem otoku v za to namenjen smetnjak.,,Udobje / priro?nost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
62,12/20/2025 22:57,12/20/2025 22:59,anonymous,,Slovenš?ina,20,Moški,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Xiaomi,Med 400€ in 600€.,2022,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,4 - 6,Skrb glede varnosti osebnih podatkov.;Udobje / priro?nost.;,Da,Pametni telefoni;Baterije;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;Polnilniki in kabli;,,
63,12/20/2025 22:58,12/20/2025 23:04,anonymous,,English (United Kingdom)?,22,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Apple,Ve? kot 1000€.,2023,Nimam ga namena zamenjati dokler deluje.,Both first and third point,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Just in case i need my previous one;,Da,Pametni telefoni;Baterije;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,Stupid we are,Give me free credit points. That always works 
64,12/20/2025 23:17,12/20/2025 23:20,anonymous,,Slovenš?ina,23,Moški,Fakulteta za matematiko in fiziko,Podiplomski študij (Magisterij),Motorola,Med 200€ in 400€.,2023,Nimam ga namena zamenjati dokler deluje.,Po?asno delovanje / zastarelost.,Shranil/-a sem ga oziroma obdržal/-a doma.,4 - 6,"Ni? niso vredni, tak da zakaj bi jih prodal? ;",Da,Baterije;Prenosni in tabli?ni ra?unalniki;Pametni telefoni;,"Ker so majhni, torej jih ni težko hraniti in ni razloga, da bi jih stran vrgli. ",Daj mi denar za to? 
65,12/20/2025 23:26,12/20/2025 23:28,anonymous,,Slovenš?ina,19,Moški,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Xiaomi,Manj kot 200€.,2025,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;Okoljska odgovornost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
66,12/20/2025 23:26,12/20/2025 23:29,anonymous,,Slovenš?ina,21,Moški,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Apple,Med 800€ in 1000€.,2025,Nimam ga namena zamenjati dokler deluje.,Slaba baterija.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;,Ne,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,jih prodajo,zbiralni koš
67,12/20/2025 23:50,12/20/2025 23:55,anonymous,,Slovenš?ina,25,Moški,"Sem bil na FRI, VSS dropout",Dodiplomski študij,Google,Med 200€ in 400€.,2024,Leta 2027,"Razbil sem ga (in pozneje popravil, je zdej za shitposting projekte), z novim sem si zelel GrapheneOS",Uporabljam ga za shitposting stvari (telefon je banger naprava z malim morjem senzorjev),,"Slabo uprasanje, nisem ga odvrgel.;",Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,"Ne ves kam bi nesel, nostalgija, ""ga bom enkrat ze popravil"", hrckanje","FRI - nastavljen zabojnik pri avtomatih, kjer je vsakemu studentu ""pod nosom"" ko pride na FRI."
68,12/20/2025 23:55,12/21/2025 0:11,anonymous,,Slovenš?ina,23,Ne želim odgovoriti.,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Samsung,Med 800€ in 1000€.,2022,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,4 - 6,Skrb glede varnosti osebnih podatkov.;Pomanjkanje primernih odlagališ? v moji bližini.;Udobje / priro?nost.;,Ne,Pametni telefoni;Prenosni in tabli?ni ra?unalniki;Nisem prepri?an/-a;,"Skrb glede varnosti podatkov; nepoznavanje zbirališ? za e-odpadke; pomankanje interesa o tem, da bi telefon sploh vrgli stran in ga samo pustijo doma",-
69,12/21/2025 0:17,12/21/2025 0:21,anonymous,,Slovenš?ina,20,Moški,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Samsung,Med 200€ in 400€.,2024,Nimam ga namena zamenjati dokler deluje.,Po?asno delovanje / zastarelost.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;Skrb glede varnosti osebnih podatkov.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
70,12/21/2025 1:41,12/21/2025 1:47,anonymous,,Slovenš?ina,21,Ženska,Fakulteta za ra?unalništvo in informatiko,Dodiplomski študij,Apple,Med 800€ in 1000€.,2024,Nimam ga namena zamenjati dokler deluje.,Po?asno delovanje / zastarelost.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;,Da,Pametni telefoni;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,Ker ne vemo kje so.,"Z zbirališ?i na fakulteti, oglaševanjem da to obstaja in kje."
